L_ListingID,L_Address,L_City,beds,baths,price,L_Remarks,remarks_cleaned
100011,111 Example St,San Francisco,2,4,950000,"Beautiful investment property with stainless steel appliances.
    Located quiet neighborhood.
    Property is newly remodeled and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful investment property with stainless steel appliances. Located quiet neighborhood. Property is newly remodeled and includes corner lot. Priced to sell with strong investment potential.
100012,112 Example St,San Francisco,2,2,950000,"Beautiful duplex with solar panels.
    Located near public transportation.
    Property is needs TLC and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful duplex with solar panels. Located near public transportation. Property is needs TLC and includes two-car garage. Priced to sell with strong investment potential.
100013,113 Example St,San Francisco,4,1,550000,"Beautiful single family home with smart home system.
    Located near public transportation.
    Property is newly remodeled and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful single family home with smart home system. Located near public transportation. Property is newly remodeled and includes low home owners association fees. Priced to sell with strong investment potential.
100014,114 Example St,San Jose,3,3,750000,"Beautiful investment property with hardwood floors.
    Located near downtown.
    Property is recently upgraded and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful investment property with hardwood floors. Located near downtown. Property is recently upgraded and includes low home owners association fees. Priced to sell with strong investment potential.
100015,115 Example St,San Francisco,2,4,950000,"Beautiful townhouse with stainless steel appliances.
    Located gated community.
    Property is move-in ready and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful townhouse with stainless steel appliances. Located gated community. Property is move-in ready and includes two-car garage. Priced to sell with strong investment potential.
100016,116 Example St,Los Angeles,2,2,650000,"Beautiful townhouse with walk-in closet.
    Located quiet neighborhood.
    Property is recently upgraded and includes large lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with walk-in closet. Located quiet neighborhood. Property is recently upgraded and includes large lot. Priced to sell with strong investment potential.
100017,117 Example St,San Diego,1,2,750000,"Beautiful duplex with granite countertops.
    Located minutes from shopping.
    Property is fully renovated and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful duplex with granite countertops. Located minutes from shopping. Property is fully renovated and includes corner lot. Priced to sell with strong investment potential.
100018,118 Example St,San Francisco,5,4,950000,"Beautiful townhouse with hardwood floors.
    Located minutes from shopping.
    Property is needs TLC and includes large lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with hardwood floors. Located minutes from shopping. Property is needs TLC and includes large lot. Priced to sell with strong investment potential.
100019,119 Example St,San Diego,1,1,750000,"Beautiful duplex with vaulted ceilings.
    Located quiet neighborhood.
    Property is needs TLC and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful duplex with vaulted ceilings. Located quiet neighborhood. Property is needs TLC and includes two-car garage. Priced to sell with strong investment potential.
100020,120 Example St,Los Angeles,3,2,550000,"Beautiful single family home with stainless steel appliances.
    Located close to schools.
    Property is fully renovated and includes community pool.
    Priced to sell with strong investment potential.",Beautiful single family home with stainless steel appliances. Located close to schools. Property is fully renovated and includes community pool. Priced to sell with strong investment potential.
100021,121 Example St,Los Angeles,2,1,650000,"Beautiful condo with vaulted ceilings.
    Located near downtown.
    Property is newly remodeled and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful condominium with vaulted ceilings. Located near downtown. Property is newly remodeled and includes no HOA. Priced to sell with strong investment potential.
100022,122 Example St,San Diego,2,1,550000,"Beautiful townhouse with open floor plan.
    Located near public transportation.
    Property is move-in ready and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful townhouse with open floor plan. Located near public transportation. Property is move-in ready and includes low home owners association fees. Priced to sell with strong investment potential.
100023,123 Example St,Los Angeles,1,3,450000,"Beautiful single family home with granite countertops.
    Located near downtown.
    Property is newly remodeled and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful single family home with granite countertops. Located near downtown. Property is newly remodeled and includes no HOA. Priced to sell with strong investment potential.
100024,124 Example St,San Jose,5,3,950000,"Beautiful duplex with stainless steel appliances.
    Located quiet neighborhood.
    Property is recently upgraded and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful duplex with stainless steel appliances. Located quiet neighborhood. Property is recently upgraded and includes low home owners association fees. Priced to sell with strong investment potential.
100025,125 Example St,San Francisco,5,2,550000,"Beautiful single family home with stainless steel appliances.
    Located gated community.
    Property is recently upgraded and includes large lot.
    Priced to sell with strong investment potential.",Beautiful single family home with stainless steel appliances. Located gated community. Property is recently upgraded and includes large lot. Priced to sell with strong investment potential.
100026,126 Example St,Los Angeles,3,3,750000,"Beautiful investment property with vaulted ceilings.
    Located near public transportation.
    Property is recently upgraded and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful investment property with vaulted ceilings. Located near public transportation. Property is recently upgraded and includes low home owners association fees. Priced to sell with strong investment potential.
100027,127 Example St,San Francisco,3,1,750000,"Beautiful townhouse with open floor plan.
    Located near downtown.
    Property is recently upgraded and includes large lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with open floor plan. Located near downtown. Property is recently upgraded and includes large lot. Priced to sell with strong investment potential.
100028,128 Example St,San Diego,1,4,950000,"Beautiful investment property with smart home system.
    Located near downtown.
    Property is fixer upper and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful investment property with smart home system. Located near downtown. Property is fixer upper and includes no HOA. Priced to sell with strong investment potential.
100029,129 Example St,San Jose,4,1,950000,"Beautiful single family home with walk-in closet.
    Located near public transportation.
    Property is fixer upper and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful single family home with walk-in closet. Located near public transportation. Property is fixer upper and includes private backyard. Priced to sell with strong investment potential.
100030,130 Example St,San Francisco,4,4,450000,"Beautiful single family home with hardwood floors.
    Located near public transportation.
    Property is newly remodeled and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful single family home with hardwood floors. Located near public transportation. Property is newly remodeled and includes no HOA. Priced to sell with strong investment potential.
100031,131 Example St,Los Angeles,3,2,950000,"Beautiful single family home with vaulted ceilings.
    Located near public transportation.
    Property is needs TLC and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful single family home with vaulted ceilings. Located near public transportation. Property is needs TLC and includes two-car garage. Priced to sell with strong investment potential.
100032,132 Example St,San Jose,2,3,950000,"Beautiful duplex with solar panels.
    Located quiet neighborhood.
    Property is fully renovated and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful duplex with solar panels. Located quiet neighborhood. Property is fully renovated and includes low home owners association fees. Priced to sell with strong investment potential.
100033,133 Example St,San Francisco,3,3,750000,"Beautiful duplex with vaulted ceilings.
    Located gated community.
    Property is move-in ready and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful duplex with vaulted ceilings. Located gated community. Property is move-in ready and includes private backyard. Priced to sell with strong investment potential.
100034,134 Example St,San Jose,2,2,350000,"Beautiful duplex with walk-in closet.
    Located near downtown.
    Property is fully renovated and includes community pool.
    Priced to sell with strong investment potential.",Beautiful duplex with walk-in closet. Located near downtown. Property is fully renovated and includes community pool. Priced to sell with strong investment potential.
100035,135 Example St,San Diego,5,2,350000,"Beautiful duplex with hardwood floors.
    Located gated community.
    Property is needs TLC and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful duplex with hardwood floors. Located gated community. Property is needs TLC and includes two-car garage. Priced to sell with strong investment potential.
100036,136 Example St,San Francisco,1,3,550000,"Beautiful single family home with smart home system.
    Located walking distance to parks.
    Property is fixer upper and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful single family home with smart home system. Located walking distance to parks. Property is fixer upper and includes two-car garage. Priced to sell with strong investment potential.
100037,137 Example St,San Jose,1,1,750000,"Beautiful investment property with hardwood floors.
    Located close to schools.
    Property is needs TLC and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful investment property with hardwood floors. Located close to schools. Property is needs TLC and includes two-car garage. Priced to sell with strong investment potential.
100038,138 Example St,San Jose,1,2,750000,"Beautiful condo with hardwood floors.
    Located gated community.
    Property is recently upgraded and includes community pool.
    Priced to sell with strong investment potential.",Beautiful condominium with hardwood floors. Located gated community. Property is recently upgraded and includes community pool. Priced to sell with strong investment potential.
100039,139 Example St,San Diego,5,1,650000,"Beautiful single family home with walk-in closet.
    Located near downtown.
    Property is fixer upper and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful single family home with walk-in closet. Located near downtown. Property is fixer upper and includes private backyard. Priced to sell with strong investment potential.
100040,140 Example St,San Francisco,2,2,850000,"Beautiful townhouse with stainless steel appliances.
    Located close to schools.
    Property is recently upgraded and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with stainless steel appliances. Located close to schools. Property is recently upgraded and includes corner lot. Priced to sell with strong investment potential.
100041,141 Example St,Los Angeles,2,3,950000,"Beautiful duplex with stainless steel appliances.
    Located walking distance to parks.
    Property is newly remodeled and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful duplex with stainless steel appliances. Located walking distance to parks. Property is newly remodeled and includes two-car garage. Priced to sell with strong investment potential.
100042,142 Example St,San Jose,4,2,950000,"Beautiful condo with solar panels.
    Located near downtown.
    Property is needs TLC and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful condominium with solar panels. Located near downtown. Property is needs TLC and includes corner lot. Priced to sell with strong investment potential.
100043,143 Example St,San Jose,3,1,750000,"Beautiful duplex with walk-in closet.
    Located quiet neighborhood.
    Property is recently upgraded and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful duplex with walk-in closet. Located quiet neighborhood. Property is recently upgraded and includes corner lot. Priced to sell with strong investment potential.
100044,144 Example St,San Diego,4,4,550000,"Beautiful townhouse with walk-in closet.
    Located quiet neighborhood.
    Property is fully renovated and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful townhouse with walk-in closet. Located quiet neighborhood. Property is fully renovated and includes no HOA. Priced to sell with strong investment potential.
100045,145 Example St,San Francisco,5,3,950000,"Beautiful duplex with smart home system.
    Located near downtown.
    Property is newly remodeled and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful duplex with smart home system. Located near downtown. Property is newly remodeled and includes no HOA. Priced to sell with strong investment potential.
100046,146 Example St,San Jose,5,3,650000,"Beautiful single family home with solar panels.
    Located minutes from shopping.
    Property is recently upgraded and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful single family home with solar panels. Located minutes from shopping. Property is recently upgraded and includes corner lot. Priced to sell with strong investment potential.
100047,147 Example St,San Francisco,4,4,650000,"Beautiful condo with granite countertops.
    Located close to schools.
    Property is fully renovated and includes large lot.
    Priced to sell with strong investment potential.",Beautiful condominium with granite countertops. Located close to schools. Property is fully renovated and includes large lot. Priced to sell with strong investment potential.
100048,148 Example St,Los Angeles,4,2,750000,"Beautiful single family home with open floor plan.
    Located close to schools.
    Property is needs TLC and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful single family home with open floor plan. Located close to schools. Property is needs TLC and includes no HOA. Priced to sell with strong investment potential.
100049,149 Example St,Los Angeles,5,2,750000,"Beautiful condo with hardwood floors.
    Located walking distance to parks.
    Property is move-in ready and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful condominium with hardwood floors. Located walking distance to parks. Property is move-in ready and includes low home owners association fees. Priced to sell with strong investment potential.
100050,150 Example St,San Jose,3,1,550000,"Beautiful duplex with smart home system.
    Located near downtown.
    Property is move-in ready and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful duplex with smart home system. Located near downtown. Property is move-in ready and includes no HOA. Priced to sell with strong investment potential.
100051,151 Example St,Los Angeles,3,4,650000,"Beautiful duplex with stainless steel appliances.
    Located minutes from shopping.
    Property is move-in ready and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful duplex with stainless steel appliances. Located minutes from shopping. Property is move-in ready and includes no HOA. Priced to sell with strong investment potential.
100052,152 Example St,Los Angeles,4,3,650000,"Beautiful investment property with vaulted ceilings.
    Located close to schools.
    Property is needs TLC and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful investment property with vaulted ceilings. Located close to schools. Property is needs TLC and includes low home owners association fees. Priced to sell with strong investment potential.
100053,153 Example St,San Jose,2,1,450000,"Beautiful investment property with open floor plan.
    Located quiet neighborhood.
    Property is needs TLC and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful investment property with open floor plan. Located quiet neighborhood. Property is needs TLC and includes low home owners association fees. Priced to sell with strong investment potential.
100054,154 Example St,San Jose,1,3,550000,"Beautiful investment property with open floor plan.
    Located near downtown.
    Property is fixer upper and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful investment property with open floor plan. Located near downtown. Property is fixer upper and includes corner lot. Priced to sell with strong investment potential.
100055,155 Example St,Los Angeles,4,3,950000,"Beautiful townhouse with walk-in closet.
    Located walking distance to parks.
    Property is fully renovated and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful townhouse with walk-in closet. Located walking distance to parks. Property is fully renovated and includes low home owners association fees. Priced to sell with strong investment potential.
100056,156 Example St,Los Angeles,5,4,450000,"Beautiful townhouse with vaulted ceilings.
    Located quiet neighborhood.
    Property is newly remodeled and includes large lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with vaulted ceilings. Located quiet neighborhood. Property is newly remodeled and includes large lot. Priced to sell with strong investment potential.
100057,157 Example St,San Diego,2,3,550000,"Beautiful investment property with smart home system.
    Located gated community.
    Property is fully renovated and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful investment property with smart home system. Located gated community. Property is fully renovated and includes corner lot. Priced to sell with strong investment potential.
100058,158 Example St,Los Angeles,3,3,950000,"Beautiful investment property with granite countertops.
    Located gated community.
    Property is recently upgraded and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful investment property with granite countertops. Located gated community. Property is recently upgraded and includes two-car garage. Priced to sell with strong investment potential.
100059,159 Example St,San Jose,5,2,750000,"Beautiful investment property with stainless steel appliances.
    Located near public transportation.
    Property is recently upgraded and includes community pool.
    Priced to sell with strong investment potential.",Beautiful investment property with stainless steel appliances. Located near public transportation. Property is recently upgraded and includes community pool. Priced to sell with strong investment potential.
100060,160 Example St,San Jose,3,2,450000,"Beautiful duplex with open floor plan.
    Located walking distance to parks.
    Property is newly remodeled and includes large lot.
    Priced to sell with strong investment potential.",Beautiful duplex with open floor plan. Located walking distance to parks. Property is newly remodeled and includes large lot. Priced to sell with strong investment potential.
100061,161 Example St,San Diego,2,3,850000,"Beautiful condo with walk-in closet.
    Located gated community.
    Property is newly remodeled and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful condominium with walk-in closet. Located gated community. Property is newly remodeled and includes low home owners association fees. Priced to sell with strong investment potential.
100062,162 Example St,San Diego,1,4,650000,"Beautiful duplex with walk-in closet.
    Located gated community.
    Property is recently upgraded and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful duplex with walk-in closet. Located gated community. Property is recently upgraded and includes no HOA. Priced to sell with strong investment potential.
100063,163 Example St,San Francisco,5,3,850000,"Beautiful duplex with vaulted ceilings.
    Located minutes from shopping.
    Property is fully renovated and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful duplex with vaulted ceilings. Located minutes from shopping. Property is fully renovated and includes no HOA. Priced to sell with strong investment potential.
100064,164 Example St,San Diego,3,4,650000,"Beautiful single family home with open floor plan.
    Located minutes from shopping.
    Property is needs TLC and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful single family home with open floor plan. Located minutes from shopping. Property is needs TLC and includes low home owners association fees. Priced to sell with strong investment potential.
100065,165 Example St,San Diego,2,4,350000,"Beautiful duplex with walk-in closet.
    Located walking distance to parks.
    Property is recently upgraded and includes large lot.
    Priced to sell with strong investment potential.",Beautiful duplex with walk-in closet. Located walking distance to parks. Property is recently upgraded and includes large lot. Priced to sell with strong investment potential.
100066,166 Example St,San Diego,3,1,850000,"Beautiful townhouse with hardwood floors.
    Located near downtown.
    Property is needs TLC and includes community pool.
    Priced to sell with strong investment potential.",Beautiful townhouse with hardwood floors. Located near downtown. Property is needs TLC and includes community pool. Priced to sell with strong investment potential.
100067,167 Example St,Los Angeles,4,1,850000,"Beautiful condo with hardwood floors.
    Located near downtown.
    Property is fully renovated and includes community pool.
    Priced to sell with strong investment potential.",Beautiful condominium with hardwood floors. Located near downtown. Property is fully renovated and includes community pool. Priced to sell with strong investment potential.
100068,168 Example St,San Francisco,2,1,750000,"Beautiful duplex with stainless steel appliances.
    Located minutes from shopping.
    Property is needs TLC and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful duplex with stainless steel appliances. Located minutes from shopping. Property is needs TLC and includes low home owners association fees. Priced to sell with strong investment potential.
100069,169 Example St,Los Angeles,5,3,650000,"Beautiful condo with open floor plan.
    Located close to schools.
    Property is newly remodeled and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful condominium with open floor plan. Located close to schools. Property is newly remodeled and includes no HOA. Priced to sell with strong investment potential.
100070,170 Example St,San Francisco,4,1,650000,"Beautiful townhouse with walk-in closet.
    Located minutes from shopping.
    Property is move-in ready and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful townhouse with walk-in closet. Located minutes from shopping. Property is move-in ready and includes low home owners association fees. Priced to sell with strong investment potential.
100071,171 Example St,San Jose,1,2,350000,"Beautiful single family home with granite countertops.
    Located close to schools.
    Property is recently upgraded and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful single family home with granite countertops. Located close to schools. Property is recently upgraded and includes two-car garage. Priced to sell with strong investment potential.
100072,172 Example St,San Diego,1,2,650000,"Beautiful investment property with walk-in closet.
    Located gated community.
    Property is move-in ready and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful investment property with walk-in closet. Located gated community. Property is move-in ready and includes private backyard. Priced to sell with strong investment potential.
100073,173 Example St,San Jose,4,3,350000,"Beautiful townhouse with hardwood floors.
    Located minutes from shopping.
    Property is recently upgraded and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful townhouse with hardwood floors. Located minutes from shopping. Property is recently upgraded and includes low home owners association fees. Priced to sell with strong investment potential.
100074,174 Example St,San Diego,1,1,350000,"Beautiful investment property with open floor plan.
    Located close to schools.
    Property is fixer upper and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful investment property with open floor plan. Located close to schools. Property is fixer upper and includes corner lot. Priced to sell with strong investment potential.
100075,175 Example St,San Diego,2,2,550000,"Beautiful townhouse with smart home system.
    Located walking distance to parks.
    Property is fixer upper and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful townhouse with smart home system. Located walking distance to parks. Property is fixer upper and includes private backyard. Priced to sell with strong investment potential.
100076,176 Example St,Los Angeles,1,2,350000,"Beautiful townhouse with smart home system.
    Located gated community.
    Property is fully renovated and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful townhouse with smart home system. Located gated community. Property is fully renovated and includes private backyard. Priced to sell with strong investment potential.
100077,177 Example St,San Diego,3,4,750000,"Beautiful investment property with open floor plan.
    Located quiet neighborhood.
    Property is newly remodeled and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful investment property with open floor plan. Located quiet neighborhood. Property is newly remodeled and includes private backyard. Priced to sell with strong investment potential.
100078,178 Example St,San Jose,5,1,950000,"Beautiful townhouse with hardwood floors.
    Located near public transportation.
    Property is newly remodeled and includes large lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with hardwood floors. Located near public transportation. Property is newly remodeled and includes large lot. Priced to sell with strong investment potential.
100079,179 Example St,San Diego,5,1,350000,"Beautiful investment property with smart home system.
    Located walking distance to parks.
    Property is recently upgraded and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful investment property with smart home system. Located walking distance to parks. Property is recently upgraded and includes no HOA. Priced to sell with strong investment potential.
100080,180 Example St,Los Angeles,1,1,450000,"Beautiful investment property with granite countertops.
    Located close to schools.
    Property is newly remodeled and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful investment property with granite countertops. Located close to schools. Property is newly remodeled and includes two-car garage. Priced to sell with strong investment potential.
100081,181 Example St,San Jose,1,1,850000,"Beautiful condo with solar panels.
    Located near public transportation.
    Property is newly remodeled and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful condominium with solar panels. Located near public transportation. Property is newly remodeled and includes two-car garage. Priced to sell with strong investment potential.
100082,182 Example St,San Francisco,2,3,750000,"Beautiful single family home with vaulted ceilings.
    Located near downtown.
    Property is fixer upper and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful single family home with vaulted ceilings. Located near downtown. Property is fixer upper and includes two-car garage. Priced to sell with strong investment potential.
100083,183 Example St,San Francisco,2,2,750000,"Beautiful condo with vaulted ceilings.
    Located gated community.
    Property is needs TLC and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful condominium with vaulted ceilings. Located gated community. Property is needs TLC and includes corner lot. Priced to sell with strong investment potential.
100084,184 Example St,San Diego,5,1,650000,"Beautiful duplex with stainless steel appliances.
    Located minutes from shopping.
    Property is newly remodeled and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful duplex with stainless steel appliances. Located minutes from shopping. Property is newly remodeled and includes private backyard. Priced to sell with strong investment potential.
100085,185 Example St,San Jose,1,2,650000,"Beautiful single family home with walk-in closet.
    Located near public transportation.
    Property is needs TLC and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful single family home with walk-in closet. Located near public transportation. Property is needs TLC and includes no HOA. Priced to sell with strong investment potential.
100086,186 Example St,San Jose,3,3,350000,"Beautiful investment property with vaulted ceilings.
    Located minutes from shopping.
    Property is recently upgraded and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful investment property with vaulted ceilings. Located minutes from shopping. Property is recently upgraded and includes private backyard. Priced to sell with strong investment potential.
100087,187 Example St,San Jose,3,1,950000,"Beautiful single family home with smart home system.
    Located gated community.
    Property is move-in ready and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful single family home with smart home system. Located gated community. Property is move-in ready and includes private backyard. Priced to sell with strong investment potential.
100088,188 Example St,San Jose,5,3,350000,"Beautiful townhouse with vaulted ceilings.
    Located walking distance to parks.
    Property is fixer upper and includes large lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with vaulted ceilings. Located walking distance to parks. Property is fixer upper and includes large lot. Priced to sell with strong investment potential.
100089,189 Example St,Los Angeles,4,2,550000,"Beautiful townhouse with hardwood floors.
    Located close to schools.
    Property is newly remodeled and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful townhouse with hardwood floors. Located close to schools. Property is newly remodeled and includes corner lot. Priced to sell with strong investment potential.
100090,190 Example St,San Francisco,4,1,550000,"Beautiful duplex with hardwood floors.
    Located minutes from shopping.
    Property is fully renovated and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful duplex with hardwood floors. Located minutes from shopping. Property is fully renovated and includes corner lot. Priced to sell with strong investment potential.
100091,191 Example St,Los Angeles,2,1,650000,"Beautiful single family home with vaulted ceilings.
    Located minutes from shopping.
    Property is newly remodeled and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful single family home with vaulted ceilings. Located minutes from shopping. Property is newly remodeled and includes corner lot. Priced to sell with strong investment potential.
100092,192 Example St,Los Angeles,1,2,950000,"Beautiful condo with hardwood floors.
    Located quiet neighborhood.
    Property is recently upgraded and includes large lot.
    Priced to sell with strong investment potential.",Beautiful condominium with hardwood floors. Located quiet neighborhood. Property is recently upgraded and includes large lot. Priced to sell with strong investment potential.
100093,193 Example St,San Francisco,4,2,750000,"Beautiful duplex with stainless steel appliances.
    Located gated community.
    Property is fixer upper and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful duplex with stainless steel appliances. Located gated community. Property is fixer upper and includes low home owners association fees. Priced to sell with strong investment potential.
100094,194 Example St,San Diego,5,1,750000,"Beautiful duplex with open floor plan.
    Located gated community.
    Property is recently upgraded and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful duplex with open floor plan. Located gated community. Property is recently upgraded and includes two-car garage. Priced to sell with strong investment potential.
100095,195 Example St,San Jose,2,2,550000,"Beautiful investment property with solar panels.
    Located near downtown.
    Property is move-in ready and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful investment property with solar panels. Located near downtown. Property is move-in ready and includes two-car garage. Priced to sell with strong investment potential.
100096,196 Example St,San Francisco,3,1,650000,"Beautiful single family home with vaulted ceilings.
    Located near public transportation.
    Property is newly remodeled and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful single family home with vaulted ceilings. Located near public transportation. Property is newly remodeled and includes two-car garage. Priced to sell with strong investment potential.
100097,197 Example St,San Francisco,2,2,350000,"Beautiful duplex with solar panels.
    Located walking distance to parks.
    Property is fixer upper and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful duplex with solar panels. Located walking distance to parks. Property is fixer upper and includes low home owners association fees. Priced to sell with strong investment potential.
